area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Apr,Kanakpura Road,1 BHK,PrarePa,525,,,27
Built-up  Area,Ready To Move,Gubbalala,5 BHK,MauilTr,2570,4,,141
Plot  Area,Ready To Move,Hennur Road,4 Bedroom,,2400,5,3,390
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,ALtonea,1442,3,2,56.24
Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,1224,2,2,70
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2,1,59
Super built-up  Area,Ready To Move,Richmond Town,2 BHK,APusenc,1233,2,3,100
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,,1312,2,3,69
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1449,3,2,90
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Nisisn ,1090,2,1,54
Plot  Area,Ready To Move,Kaggadasapura,5 Bedroom,,2100,5,0,150
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1390,2,3,62.55
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Srncyya,1200,2,3,78
Plot  Area,Ready To Move,Mallasandra,4 Bedroom,,600,2,2,50
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Vincyat,1000,2,2,58
Plot  Area,18-Oct,Devanahalli,4 Bedroom,Amais V,2400,5,2,190
Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1290,2,2,80
Super built-up  Area,Ready To Move,Marasandra,3 BHK,,1840,3,3,85
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917,4,2,100
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,NaaveEn,1100,2,2,57
Super built-up  Area,Ready To Move,Kudlu,3 BHK,,1455,2,3,60
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4,3,208
Plot  Area,Ready To Move,Haralur Road,5 Bedroom,,1200,5,,255
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,Shireru,1425,2,2,65
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1655,3,1,113
Super built-up  Area,18-Mar,Haralur Road,4 BHK,SNnia E,2805,5,3,160
Built-up  Area,Ready To Move,R.T. Nagar,7 Bedroom,,600,7,3,93
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,,1040,2,1,46.79
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1126,2,1,55
Plot  Area,Ready To Move,Kodichikkanahalli,6 Bedroom,,1600,4,1,200
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1250,2,1,55.55
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,InllaPa,1800,4,2,180
Plot  Area,Ready To Move,Kalkere Channasandra,2 Bedroom,,1200,2,0,53
Built-up  Area,Ready To Move,Ashirvad Colony,4 BHK,VMowsea,2050,3,1,100
Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,530,1,1,29.44
Built-up  Area,19-Jun,Sarjapur,4 Bedroom,Caonand,2580 - 2591,4,0,139.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,37
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2,2,59.6
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVodsve,1295,2,2,95
Super built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1275,3,1,59
Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,,800,2,2,30
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,,1200,1,0,95
Super built-up  Area,Ready To Move,Bellandur,2 BHK,MancyRe,1063,2,1,58
Super built-up  Area,Ready To Move,Balagere,1 BHK,Soresea,656,1,1,43
Super built-up  Area,Ready To Move,Shakthi Nagar,2 BHK,,1125,2,2,36
Super built-up  Area,18-Dec,Marathahalli,2 BHK,Unezes ,881,2,1,48.06
Plot  Area,Ready To Move,Nayandanahalli,9 Bedroom,,1350,8,2,200
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,700,1,1,32
Plot  Area,Ready To Move,AGS Layout,3 Bedroom,,1936,3,0,110
Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1680,3,1,101
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,MJeusyl,1253,2,2,57
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,3,230
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1082,3,2,50
Built-up  Area,18-Dec,Electronic City,2 BHK,,1065,2,1,30.75
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,2100,4,2,145
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,58
Super built-up  Area,16-Sep,Raja Rajeshwari Nagar,3 BHK,,1280,3,2,57.6
Plot  Area,18-Apr,6th block Koramangala,5 Bedroom,,1200,5,2,300
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125,2,1,29.25
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1755,3,2,122
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1210,2,1,54
Super built-up  Area,18-Sep,Talaghattapura,2 BHK,,951,2,2,30.43
Built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2,1,75
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Sanstya,1652.5,3,2,90
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1381,2,2,76.18
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1085,2,1,57
Super built-up  Area,18-Apr,Whitefield,1 BHK,Prtates,905,1,1,50
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1685,3,2,95
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1200,2,2,75
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1151,2,1,42.9
Built-up  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,3532,3,3,170
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665,3,2,86.91
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,800,2,1,40
Built-up  Area,Ready To Move,Chamrajpet,2 Bedroom,,1050,2,1,162
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1030,2,2,46.5
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2,1,71.03
Super built-up  Area,18-Dec,Whitefield,3 BHK,BSlasin,1600,3,2,82
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRlpank,1465,3,3,75
Super built-up  Area,Ready To Move,Jakkur,3 BHK,HRaniIb,1650,3,2,111
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1243,2,2,46
Built-up  Area,Ready To Move,Yelahanka New Town,2 Bedroom,,680,1,1,80
Plot  Area,18-Aug,Whitefield,4 Bedroom,,1230,4,2,80
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Jainaht,1300,2,2,82
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hoston ,1000,2,1,44.5
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1146,2,1,53.8
Super built-up  Area,Ready To Move,Hennagara,6 BHK,,1200,6,3,120
Super built-up  Area,18-Mar,Indira Nagar,3 BHK,,2601,4,,312
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159,3,2,110
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1255,2,2,40
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1200,2,1,60
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,ARineun,1040,2,1,37
Plot  Area,Ready To Move,TC Palaya,8 Bedroom,,1500,8,2,150
Plot  Area,Ready To Move,Byrathi Village,4 Bedroom,,906,3,2,55
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1180,2,1,41.3
Plot  Area,Ready To Move,Ullal Uppanagar,7 Bedroom,,1200,7,2,169
Plot  Area,Ready To Move,Govindpura,6 Bedroom,,850,7,2,100
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1200,2,3,47
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1374,3,2,51
Super built-up  Area,Ready To Move,Vidyaranyapura,9 BHK,,4700,10,3,130
Super built-up  Area,19-Dec,Whitefield,1 BHK,Goted U,613 - 648,1,0,32.15
Plot  Area,Ready To Move, south,3 Bedroom,,2400,2,0,480
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,44
Plot  Area,Ready To Move,Ittamadu,5 Bedroom,,1200,4,,130
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2384,4,2,165
Super built-up  Area,19-Aug,Electronic City,3 BHK,,1033,2,2,28.41
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,1200,2,1,54
Built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,3,2,105
Plot  Area,Ready To Move,Rainbow Drive,3 Bedroom,,1500,3,2,138
Super built-up  Area,Ready To Move,Kamala Nagar,2 BHK,,700,2,0,43
Plot  Area,Ready To Move,Shampura,6 Bedroom,,1150,6,2,75
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1495,2,2,52.33
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1302,2,1,68.5
Built-up  Area,18-Mar,Whitefield,1 BHK,Prtates,905,1,1,52
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2,1,55.79
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1350,3,0,71
Super built-up  Area,Ready To Move,Gottigere,3 BHK,SMshi M,1380,2,2,95
Super built-up  Area,Ready To Move,Harlur,3 BHK,Shodsir,1620,3,1,110
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,,4800,4,3,250
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maager ,1000,2,1,38.5
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,800,4,0,88
Super built-up  Area,18-Apr,Thanisandra,2 BHK,,1250,1,1,54
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,,1750,3,3,170
Super built-up  Area,Ready To Move,Anekal,3 BHK,,997,3,2,55
Super built-up  Area,15-Oct,Kothanur,3 BHK,Somumys,1760,3,,111
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322,2,2,75
Plot  Area,Ready To Move,Kanaka Nagar,3 Bedroom,,1365,3,0,99
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1500,3,2,125
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Mancya ,1256,2,2,50
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Neestna,941,2,2,48
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soacyst,5000,4,3,465
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1665,3,2,86.58
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,ChionCo,1414,2,,84.18
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1270,2,3,55.25
Plot  Area,Ready To Move,Madiwala,3 Bedroom,,800,2,2,80
Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,,4100,3,0,300
Built-up  Area,Ready To Move,Mathikere,6 Bedroom,,1800,3,,105
Built-up  Area,Ready To Move,Pattanagere,2 BHK,,850,2,0,35
Super built-up  Area,21-Mar,Kanakpura Road,1 BHK,GolusLi,712,1,1,38.44
Super built-up  Area,17-Dec,Rajaji Nagar,4 BHK,ProdsWe,2563 - 2733,5,0,251.5
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 Bedroom,,900,4,2,180
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2,0,55
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Thuse F,1200,2,1,49
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,,654,1,1,22
Super built-up  Area,Ready To Move,Peenya,2 BHK,,708,1,1,55
Plot  Area,Ready To Move,Singapura Village,4 Bedroom,,600,5,3,75
Built-up  Area,Ready To Move,Wilson Garden,3 BHK,SaageWi,1680,3,3,135
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,990,2,2,58
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Suitea ,1380,2,1,42
Super built-up  Area,18-May,Hebbal,2 BHK,Arcia S,1088,2,2,62
Super built-up  Area,Ready To Move,Harlur,3 BHK,Zonce E,1414,3,2,77.5
Built-up  Area,Ready To Move,Seshadripuram,2 BHK,,1240,2,1,100
Built-up  Area,Ready To Move,Ganesha Block,3 BHK,,1810,3,3,118
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,,2005,3,2,240
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1185,2,2,58
Plot  Area,18-Oct,Whitefield,3 Bedroom,,1200,3,2,57.15
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,52
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,Maenara,1265,2,1,58
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1100,2,1,55
Built-up  Area,Ready To Move,Friends Colony,2 BHK,SiidsGa,1035,2,2,44
Super built-up  Area,Ready To Move,Sonnenahalli,1 BHK,Skacak ,605 - 624,1,0,30.715
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,,1000,2,1,97
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,,1179,2,2,49.35
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3,1,84
Plot  Area,Ready To Move,Malur Hosur Road,6 Bedroom,,2800,4,3,100
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,8 Bedroom,,3500,6,2,120
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,,1430,3,1,78.65
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Thowsil,1130,2,2,58
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,SuncyRe,1850,2,,110
Super built-up  Area,Ready To Move,Hennur,3 BHK,,1340,3,2,54.24
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4260 - 4408,,,338
Plot  Area,Ready To Move,Nagawara Junction,2 Bedroom,,600,2,0,30
Super built-up  Area,Ready To Move,Banashankari,3 BHK,PrdgeSo,2582,5,2,250
Super built-up  Area,Ready To Move,Channasandra,2 BHK,,1160,2,1,55
Built-up  Area,Ready To Move,Hegganahalli,1 Bedroom,,1200,2,1,45
Built-up  Area,18-Aug,Rajanna Layout,2 BHK,,1116,2,1,37.6
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,3 Bedroom,,600,2,1,85
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2663,4,1,338
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,1090,2,2,45
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1100,2,1,45
Super built-up  Area,18-Aug,Kammasandra,3 BHK,DSOakil,1365,2,1,34.13
Super built-up  Area,20-Feb,Vijayanagar,3 BHK,Saahaat,1484,3,2,79.19
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Prodsm ,1630,3,2,68
Super built-up  Area,18-May,Whitefield,3 BHK,SMuilan,1451,2,2,52.43
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1330,2,1,107
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,NRncyrk,2127,3,2,135
Plot  Area,Ready To Move,Adityanagar,5 Bedroom,,875,5,3,120
Plot  Area,Ready To Move,Hallehalli,4 Bedroom,,1260,4,2,65
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1173,2,2,45.75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1445,2,1,56
Super built-up  Area,Ready To Move,Jayamahal Extension,4 BHK,,2250,4,1,400
Plot  Area,18-Dec,Bannerghatta Road,3 Bedroom,Putere ,1500,4,2,239
Super built-up  Area,18-Nov,Thanisandra,3 BHK,Bhe 2ko,1349 - 3324,3,0,115.89
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,MBncyh ,1197,2,1,47.88
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1200,4,1,225
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,3930,7,,329
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,62.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1187,2,1,37.85
Plot  Area,Ready To Move,Wilson Garden,6 Bedroom,,4000,6,3,850
Super built-up  Area,18-Aug,Channasandra,2 BHK,,1050,2,2,41
Super built-up  Area,18-May,Panathur,3 BHK,Saite G,1370,2,2,54.8
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036,2,2,39.37
Super built-up  Area,18-Jun,JP Nagar,3 BHK,,1275,3,2,41.2
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brglede,2010,3,2,115
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2,2,106
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1265,2,2,46.6
Super built-up  Area,Ready To Move,Anandapura,3 BHK,ViensRK,1576,3,2,58
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1148,2,1,56
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1000,2,1,36
Super built-up  Area,Ready To Move,Kudlu,3 BHK,MJinala,1293,2,2,85
Plot  Area,18-May,TC Palaya,3 Bedroom,,1200,2,0,66
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Keids O,1210,2,3,75
Built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1126,2,1,69
Built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,,1840,4,1,175
Built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,DSestil,1440,2,0,70
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SamesHo,1300,2,2,52
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1276,2,2,75
Plot  Area,Ready To Move,Gidada Konnenahalli,6 Bedroom,,600,4,2,105
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2,1,83
Super built-up  Area,18-Apr,Marenahalli,1 BHK,,840,1,0,75
Plot  Area,Ready To Move,Sector 1 HSR Layout,5 Bedroom,,1240,5,3,300
Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,1126,2,2,39
Plot  Area,Ready To Move,Mysore Road,1 Bedroom,,45,1,0,23
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,Cee 2du,1162,2,0,65
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Nillsre,1301,2,2,65
Super built-up  Area,19-Dec,Devanahalli,1 BHK,Sabixtt,658,1,1,34
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,1350,3,1,250
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3,2,280
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,78.03Sq. Meter,1,1,63
Built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208.51,3,2,42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2,2,38.41
Super built-up  Area,Ready To Move,Shettigere,3 BHK,LendaVi,1760,2,1,116
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,940,2,1,25.38
Super built-up  Area,Ready To Move,Badavala Nagar,2 BHK,CMDewun,1145,2,2,57
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255 - 1350,2,0,67.73
Built-up  Area,Ready To Move,Rahat Bagh,4 Bedroom,Saaintv,3900,5,1,550
Super built-up  Area,Ready To Move,Omarbagh Layout,4 BHK,SNtua S,3300 - 3335,5,0,268.5
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,,1300,2,2,50
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4,3,326
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,SGncy R,2040,3,,200
Built-up  Area,Ready To Move,Hosakerehalli,1 Bedroom,,1200,1,0,150
Plot  Area,Ready To Move,Jigani,4 Bedroom,,2420,4,1,190
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1216,2,1,80
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soire A,1459,2,1,110
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Soral C,1622,2,0,80
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3,2,85
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2,1,81
Plot  Area,Ready To Move,Chikkasandra,2 Bedroom,,600,1,1,52
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,KencyRe,1430,2,1,69.5
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,,1800,2,0,280
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1670,3,2,160
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1695,3,2,150
Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,ISeekon,1410,2,2,75
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,1060,2,3,42
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1120,2,2,50
Plot  Area,Ready To Move,Hosa Road,2 Bedroom,,880,2,0,50
Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1435,3,3,57.2
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1425,2,2,56.99
Super built-up  Area,Ready To Move,Arekere,2 BHK,Chiteny,900,2,3,50
Built-up  Area,18-Feb,Escorts Colony,5 BHK,,2400,5,2,93
Built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1,1,34.3
Plot  Area,Ready To Move,Kengeri,3 Bedroom,,600,3,1,90
Super built-up  Area,20-Dec,Electronic City,4 BHK,KonteiT,2435,4,3,119
Super built-up  Area,18-Aug,Iblur Village,3 BHK,DNionfl,1920,3,2,150
Super built-up  Area,18-Mar,Electronic City,1 BHK,Prarkun,630,1,1,47
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,50
Plot  Area,Ready To Move,Hulimavu,5 Bedroom,,1200,5,0,101
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1,1,55
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,,1200,2,2,75.6
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,3Codeli,1532,2,2,62
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,PuoodSk,1330,2,1,93
Plot  Area,Ready To Move,3rd Block Hrbr Layout,4 Bedroom,,1200,3,1,210
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Nauha G,1530,2,2,60
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1105,2,2,42
Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,,1566,2,0,180
Super built-up  Area,18-Jul,Harlur,3 BHK,Shodsir,1630,3,1,95.1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1256,2,1,62.8
Built-up  Area,Ready To Move,Banashankari,6 BHK,Giaver ,1200,6,2,180
Built-up  Area,Ready To Move,Brookefield,3 BHK,Saowson,1595,2,3,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1000,2,2,53
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475,2,2,58.99
Plot  Area,18-May,"asha township, off hennur road",5 Bedroom,,2400,5,3,285
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,28.88
Plot  Area,Ready To Move,1A Block Koramangala,4 Bedroom,,2360,4,1,650
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1737,2,3,95
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,28.88
Super built-up  Area,Ready To Move,Near International Airport,4 BHK,,2100,4,2,150
Built-up  Area,Ready To Move,Hosakerehalli,8 Bedroom,,3600,6,1,145
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrawnRa,883,2,1,50
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1243,2,2,46
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,Raide P,1776,2,3,75
Super built-up  Area,19-Dec,Anjanapura,3 BHK,DSapeto,1347,2,1,37.72
Super built-up  Area,Ready To Move,Whitefield,3 BHK,KKdenng,1330,2,2,55
Plot  Area,Ready To Move,Sector 1 HSR Layout,2 Bedroom,,600,2,1,120
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,3730,4,3,370
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1459,3,2,135
Super built-up  Area,19-Dec,Thanisandra,4 BHK,Bhe 2ko,2259,5,2,135
Built-up  Area,Ready To Move,JP Nagar,7 Bedroom,,2700,4,1,160
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,1008,2,2,32.25
Super built-up  Area,Ready To Move,NTI Layout,2 BHK,Vaent V,1200,2,2,52.5
Super built-up  Area,18-May,Vasanth nagar,4 BHK,Dheusag,2328,4,1,528
Plot  Area,Ready To Move,BTM 1st Stage,7 Bedroom,,600,7,3,110
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,15.5
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1800,2,2,250
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3100,4,3,550
Super built-up  Area,19-Aug,Yelahanka,2 BHK,SMllay ,1180 - 1630,2,0,50.58
Super built-up  Area,18-May,Yelahanka,1 BHK,Prensya,602,1,1,26
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3,2,100
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Adaveth,1500,2,3,82
Built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1539,3,2,60
Plot  Area,Ready To Move,Fraser town,6 Bedroom,,806,3,1,128
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1100,2,1,53
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2,1,49
Super built-up  Area,Ready To Move,Dasappa Layout,2 BHK,,920,2,1,46
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,3,3,78.3
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Shissut,1200,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1265,2,1,78
Plot  Area,Ready To Move,Chelekare,8 Bedroom,,600,6,2,60
