location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1116.0,2.0,37.0,2,3315
Hoodi,2 BHK,948.0,2.0,75.0,2,7911
R.T. Nagar,2 BHK,970.0,2.0,55.0,2,5670
other,3 BHK,1519.0,3.0,67.23,3,4425
Thanisandra,3 BHK,1200.0,2.0,65.0,3,5416
Bhoganhalli,3 BHK,1760.0,3.0,127.0,3,7215
Whitefield,4 Bedroom,4400.0,5.0,525.0,4,11931
Sahakara Nagar,3 BHK,1914.0,3.0,179.0,3,9352
Budigere,3 BHK,1820.0,3.0,85.5,3,4697
Budigere,3 BHK,1820.0,3.0,93.0,3,5109
Kalena Agrahara,3 BHK,1565.0,3.0,78.0,3,4984
Begur Road,2 BHK,1334.0,2.0,42.69,2,3200
Sarakki Nagar,2 BHK,924.0,2.0,76.23,2,8250
Jigani,2 BHK,914.0,2.0,49.0,2,5361
Kengeri,1 BHK,500.0,1.0,17.0,1,3400
Yelahanka,3 BHK,2145.0,3.0,125.0,3,5827
Yelahanka,5 Bedroom,1200.0,5.0,162.0,5,13500
Electronic City,3 BHK,1650.0,3.0,100.0,3,6060
Marathahalli,4 BHK,3940.0,4.0,220.0,4,5583
Electronic City,2 BHK,1020.0,2.0,29.45,2,2887
Basaveshwara Nagar,2 BHK,1180.0,2.0,58.0,2,4915
Ulsoor,2 BHK,1255.0,2.0,120.0,2,9561
other,3 BHK,2777.29,5.0,650.0,3,23404
Bommasandra,2 BHK,1014.0,2.0,35.0,2,3451
Shampura,4 Bedroom,920.0,2.0,90.0,4,9782
Attibele,2 BHK,695.0,1.0,25.0,2,3597
Prithvi Layout,3 Bedroom,2273.0,4.0,220.0,3,9678
GM Palaya,2 BHK,1140.0,2.0,48.95,2,4293
Giri Nagar,6 Bedroom,3000.0,4.0,375.0,6,12500
Whitefield,2 BHK,1180.0,2.0,41.0,2,3474
Begur Road,4 BHK,2400.0,4.0,152.0,4,6333
Attibele,2 BHK,850.0,1.0,25.0,2,2941
Banashankari,2 BHK,1200.0,2.0,60.0,2,5000
other,4 BHK,3160.0,4.0,206.0,4,6518
Hoodi,3 BHK,1769.0,3.0,96.87,3,5475
Bhoganhalli,4 BHK,1554.3,4.0,131.0,4,8428
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
other,4 Bedroom,4920.0,5.0,1150.0,4,23373
Mallasandra,2 BHK,905.0,2.0,40.0,2,4419
Kothanur,1 Bedroom,627.0,1.0,30.0,1,4784
Domlur,3 BHK,2180.0,3.0,285.0,3,13073
Frazer Town,3 BHK,2400.0,3.0,260.0,3,10833
Marathahalli,3 BHK,1435.0,3.0,73.0,3,5087
Jakkur,4 BHK,3405.1,6.0,400.0,4,11747
Kodihalli,3 BHK,1620.0,3.0,130.0,3,8024
Whitefield,3 BHK,1862.0,3.0,125.0,3,6713
Kaikondrahalli,2 BHK,674.0,1.0,19.9,2,2952
Marathahalli,2 BHK,1220.0,2.0,59.0,2,4836
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Electronic City,2 BHK,1025.0,2.0,49.0,2,4780
Thanisandra,3 BHK,1430.0,2.0,54.5,3,3811
Panathur,2 BHK,1235.0,2.0,65.0,2,5263
Electronics City Phase 1,3 BHK,1291.0,2.0,32.0,3,2478
Kanakpura Road,3 BHK,1498.0,3.0,95.0,3,6341
Sarjapur  Road,3 BHK,2180.0,3.0,240.0,3,11009
Electronic City,2 BHK,1000.0,2.0,29.7,2,2970
other,2 Bedroom,922.0,2.0,70.0,2,7592
other,2 BHK,850.0,2.0,72.0,2,8470
other,3 Bedroom,750.0,3.0,155.0,3,20666
AECS Layout,2 BHK,1123.0,2.0,64.0,2,5699
Raja Rajeshwari Nagar,2 BHK,1235.0,2.0,75.0,2,6072
Kogilu,2 BHK,1250.0,2.0,55.55,2,4444
Whitefield,4 Bedroom,2403.0,5.0,360.0,4,14981
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2,4665
Sarjapur  Road,2 BHK,1305.0,2.0,99.0,2,7586
other,2 Bedroom,1200.0,1.0,65.0,2,5416
other,3 Bedroom,600.0,3.0,90.0,3,15000
Hebbal,4 BHK,2790.0,5.0,204.0,4,7311
Old Madras Road,4 BHK,2010.0,3.0,125.0,4,6218
Electronics City Phase 1,2 BHK,995.0,2.0,42.0,2,4221
Varthur Road,2 BHK,1277.0,2.0,59.0,2,4620
7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2,4961
Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2,5296
Gubbalala,5 BHK,2570.0,4.0,141.0,5,5486
Hennur Road,4 Bedroom,2400.0,5.0,390.0,4,16250
other,3 BHK,1442.0,3.0,56.24,3,3900
Ardendale,2 BHK,1224.0,2.0,70.0,2,5718
Bellandur,2 BHK,1205.0,2.0,59.0,2,4896
other,2 BHK,1233.0,2.0,100.0,2,8110
5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259
Electronic City,3 BHK,1449.0,3.0,90.0,3,6211
Yelenahalli,2 BHK,1090.0,2.0,54.0,2,4954
Kaggadasapura,5 Bedroom,2100.0,5.0,150.0,5,7142
Uttarahalli,3 BHK,1390.0,2.0,62.55,3,4500
JP Nagar,2 BHK,1200.0,2.0,78.0,2,6500
Mallasandra,4 Bedroom,600.0,2.0,50.0,4,8333
BTM 2nd Stage,2 BHK,1000.0,2.0,58.0,2,5800
Devanahalli,4 Bedroom,2400.0,5.0,190.0,4,7916
Thanisandra,3 BHK,1732.0,3.0,85.73,3,4949
Banashankari,2 BHK,1290.0,2.0,80.0,2,6201
other,3 BHK,1840.0,3.0,85.0,3,4619
Thanisandra,3 BHK,1917.0,4.0,100.0,3,5216
other,2 BHK,1100.0,2.0,57.0,2,5181
Kudlu,3 BHK,1455.0,2.0,60.0,3,4123
Old Airport Road,4 BHK,2774.0,4.0,208.0,4,7498
Haralur Road,5 Bedroom,1200.0,5.0,255.0,5,21250
Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3,4561
Whitefield,3 BHK,1655.0,3.0,113.0,3,6827
Haralur Road,4 BHK,2805.0,5.0,160.0,4,5704
R.T. Nagar,7 Bedroom,600.0,7.0,93.0,7,15500
other,2 BHK,1040.0,2.0,46.79,2,4499
Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884
Kodichikkanahalli,6 Bedroom,1600.0,4.0,200.0,6,12500
Hebbal,2 BHK,1250.0,2.0,55.55,2,4444
Yelahanka,4 Bedroom,1800.0,4.0,180.0,4,10000
other,2 Bedroom,1200.0,2.0,53.0,2,4416
other,4 BHK,2050.0,3.0,100.0,4,4878
Whitefield,1 BHK,530.0,1.0,29.44,1,5554
Sarjapur,4 Bedroom,2585.5,4.0,139.5,4,5395
Kambipura,2 BHK,883.0,2.0,37.0,2,4190
Uttarahalli,3 BHK,1490.0,2.0,59.6,3,4000
Ramagondanahalli,2 BHK,1295.0,2.0,95.0,2,7335
Sompura,3 BHK,1275.0,3.0,59.0,3,4627
other,2 BHK,800.0,2.0,30.0,2,3750
Devanahalli,1 BHK,1200.0,1.0,95.0,1,7916
Bellandur,2 BHK,1063.0,2.0,58.0,2,5456
Balagere,1 BHK,656.0,1.0,43.0,1,6554
other,2 BHK,1125.0,2.0,36.0,2,3200
Marathahalli,2 BHK,881.0,2.0,48.06,2,5455
other,9 Bedroom,1350.0,8.0,200.0,9,14814
Bisuvanahalli,2 BHK,700.0,1.0,32.0,2,4571
other,3 Bedroom,1936.0,3.0,110.0,3,5681
Hosa Road,3 BHK,1680.0,3.0,101.0,3,6011
Rayasandra,2 BHK,1253.0,2.0,57.0,2,4549
Rajaji Nagar,3 BHK,1640.0,3.0,230.0,3,14024
Mysore Road,3 BHK,1082.0,3.0,50.0,3,4621
Electronic City,2 BHK,1065.0,2.0,30.75,2,2887
Iblur Village,3 BHK,2100.0,4.0,145.0,3,6904
Electronic City,2 BHK,1070.0,2.0,58.0,2,5420
Raja Rajeshwari Nagar,3 BHK,1280.0,3.0,57.6,3,4500
other,5 Bedroom,1200.0,5.0,300.0,5,25000
Electronic City Phase II,2 BHK,1125.0,2.0,29.25,2,2600
Sarjapur  Road,3 BHK,1755.0,3.0,122.0,3,6951
Electronic City,2 BHK,1210.0,2.0,54.0,2,4462
Talaghattapura,2 BHK,951.0,2.0,30.43,2,3199
Electronic City,3 BHK,1500.0,2.0,75.0,3,5000
other,3 BHK,1652.5,3.0,90.0,3,5446
Yeshwanthpur,3 BHK,1381.0,2.0,76.18,3,5516
Whitefield,2 BHK,1085.0,2.0,57.0,2,5253
Whitefield,1 BHK,905.0,1.0,50.0,1,5524
Hennur Road,3 BHK,1685.0,3.0,95.0,3,5637
Somasundara Palya,2 BHK,1200.0,2.0,75.0,2,6250
Anandapura,2 BHK,1151.0,2.0,42.9,2,3727
Brookefield,4 Bedroom,3532.0,3.0,170.0,4,4813
Kanakpura Road,3 BHK,1665.0,3.0,86.91,3,5219
Kengeri Satellite Town,2 BHK,800.0,2.0,40.0,2,5000
Chamrajpet,2 Bedroom,1050.0,2.0,162.0,2,15428
Rajiv Nagar,2 BHK,1030.0,2.0,46.5,2,4514
Hoodi,2 BHK,1257.0,2.0,71.03,2,5650
Whitefield,3 BHK,1600.0,3.0,82.0,3,5125
Choodasandra,3 BHK,1465.0,3.0,75.0,3,5119
Jakkur,3 BHK,1650.0,3.0,111.0,3,6727
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
Yelahanka New Town,2 Bedroom,680.0,1.0,80.0,2,11764
Whitefield,4 Bedroom,1230.0,4.0,80.0,4,6504
Koramangala,2 BHK,1300.0,2.0,82.0,2,6307
KR Puram,2 BHK,1000.0,2.0,44.5,2,4450
Mahadevpura,2 BHK,1146.0,2.0,53.8,2,4694
other,6 BHK,1200.0,6.0,120.0,6,10000
Indira Nagar,3 BHK,2601.0,4.0,312.0,3,11995
other,3 BHK,2159.0,3.0,110.0,3,5094
Whitefield,2 BHK,1255.0,2.0,40.0,2,3187
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2,5309
Padmanabhanagar,2 BHK,1200.0,2.0,60.0,2,5000
Sarjapur  Road,2 BHK,1040.0,2.0,37.0,2,3557
TC Palaya,8 Bedroom,1500.0,8.0,150.0,8,10000
other,4 Bedroom,906.0,3.0,55.0,4,6070
Uttarahalli,2 BHK,1180.0,2.0,41.3,2,3499
other,7 Bedroom,1200.0,7.0,169.0,7,14083
other,6 Bedroom,850.0,7.0,100.0,6,11764
KR Puram,2 BHK,1200.0,2.0,47.0,2,3916
Sarjapur  Road,3 BHK,1374.0,3.0,51.0,3,3711
Vidyaranyapura,9 BHK,4700.0,10.0,130.0,9,2765
Whitefield,1 BHK,630.5,1.0,32.15,1,5099
other,3 Bedroom,2400.0,2.0,480.0,3,20000
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
other,5 Bedroom,1200.0,4.0,130.0,5,10833
Jalahalli,3 BHK,2384.0,4.0,165.0,3,6921
Electronic City,3 BHK,1033.0,2.0,28.41,3,2750
Yelahanka,2 BHK,1200.0,2.0,54.0,2,4500
Haralur Road,3 BHK,2017.0,3.0,105.0,3,5205
other,3 Bedroom,1500.0,3.0,138.0,3,9200
other,2 BHK,700.0,2.0,43.0,2,6142
Shampura,6 Bedroom,1150.0,6.0,75.0,6,6521
Kanakpura Road,3 BHK,1495.0,2.0,52.33,3,3500
Kothanur,2 BHK,1302.0,2.0,68.5,2,5261
Whitefield,1 BHK,905.0,1.0,52.0,1,5745
Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,55.79,2,4281
Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3,5259
Gottigere,3 BHK,1380.0,2.0,95.0,3,6884
Harlur,3 BHK,1620.0,3.0,110.0,3,6790
Chandapura,4 Bedroom,4800.0,4.0,250.0,4,5208
Sarjapur  Road,2 BHK,1000.0,2.0,38.5,2,3850
Ramamurthy Nagar,3 Bedroom,800.0,4.0,88.0,3,11000
Thanisandra,2 BHK,1250.0,1.0,54.0,2,4320
other,3 BHK,1750.0,3.0,170.0,3,9714
Anekal,3 BHK,997.0,3.0,55.0,3,5516
Kothanur,3 BHK,1760.0,3.0,111.0,3,6306
Yelahanka,2 BHK,1322.0,2.0,75.0,2,5673
other,3 Bedroom,1365.0,3.0,99.0,3,7252
Sahakara Nagar,3 BHK,1500.0,3.0,125.0,3,8333
Kaggadasapura,3 BHK,1256.0,2.0,50.0,3,3980
Brookefield,2 BHK,941.0,2.0,48.0,2,5100
Devanahalli,4 Bedroom,5000.0,4.0,465.0,4,9300
Kanakpura Road,3 BHK,1665.0,3.0,86.58,3,5200
Hennur Road,2 BHK,1414.0,2.0,84.18,2,5953
Chikkalasandra,3 BHK,1270.0,2.0,55.25,3,4350
other,3 Bedroom,800.0,2.0,80.0,3,10000
Kengeri Satellite Town,4 Bedroom,4100.0,3.0,300.0,4,7317
other,6 Bedroom,1800.0,3.0,105.0,6,5833
other,2 BHK,850.0,2.0,35.0,2,4117
Kanakpura Road,1 BHK,712.0,1.0,38.44,1,5398
Rajaji Nagar,4 BHK,2648.0,5.0,251.5,4,9497
other,3 Bedroom,900.0,4.0,180.0,3,20000
TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111
Hebbal,2 BHK,1200.0,2.0,49.0,2,4083
Kengeri Satellite Town,1 BHK,654.0,1.0,22.0,1,3363
other,2 BHK,708.0,1.0,55.0,2,7768
other,4 Bedroom,600.0,5.0,75.0,4,12500
other,3 BHK,1680.0,3.0,135.0,3,8035
other,2 BHK,990.0,2.0,58.0,2,5858
Uttarahalli,2 BHK,1380.0,2.0,42.0,2,3043
Hebbal,2 BHK,1088.0,2.0,62.0,2,5698
Harlur,3 BHK,1414.0,3.0,77.5,3,5480
other,2 BHK,1240.0,2.0,100.0,2,8064
other,3 BHK,1810.0,3.0,118.0,3,6519
other,3 BHK,2005.0,3.0,240.0,3,11970
Kothanur,2 BHK,1185.0,2.0,58.0,2,4894
Whitefield,3 Bedroom,1200.0,3.0,57.15,3,4762
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
other,2 BHK,1265.0,2.0,58.0,2,4584
Sahakara Nagar,2 BHK,1100.0,2.0,55.0,2,5000
other,2 BHK,1035.0,2.0,44.0,2,4251
Sonnenahalli,1 BHK,614.5,1.0,30.715,1,4998
other,2 BHK,1000.0,2.0,97.0,2,9700
Hegde Nagar,2 BHK,1179.0,2.0,49.35,2,4185
Vittasandra,3 BHK,1650.0,3.0,84.0,3,5090
other,6 Bedroom,2800.0,4.0,100.0,6,3571
other,8 Bedroom,3500.0,6.0,120.0,8,3428
other,3 BHK,1430.0,3.0,78.65,3,5500
Marathahalli,3 BHK,1130.0,2.0,58.0,3,5132
JP Nagar,3 BHK,1850.0,2.0,110.0,3,5945
Hennur,3 BHK,1340.0,3.0,54.24,3,4047
other,2 Bedroom,600.0,2.0,30.0,2,5000
Banashankari,3 BHK,2582.0,5.0,250.0,3,9682
Channasandra,2 BHK,1160.0,2.0,55.0,2,4741
other,1 Bedroom,1200.0,2.0,45.0,1,3750
other,2 BHK,1116.0,2.0,37.6,2,3369
other,3 Bedroom,600.0,2.0,85.0,3,14166
Sarakki Nagar,3 BHK,2663.0,4.0,338.0,3,12692
other,2 BHK,1090.0,2.0,45.0,2,4128
JP Nagar,2 BHK,1100.0,2.0,45.0,2,4090
Kammasandra,3 BHK,1365.0,2.0,34.13,3,2500
Vijayanagar,3 BHK,1484.0,3.0,79.19,3,5336
Green Glen Layout,3 BHK,1630.0,3.0,68.0,3,4171
Whitefield,3 BHK,1451.0,2.0,52.43,3,3613
Kanakpura Road,2 BHK,1330.0,2.0,107.0,2,8045
Thanisandra,3 BHK,2127.0,3.0,135.0,3,6346
other,5 Bedroom,875.0,5.0,120.0,5,13714
other,4 Bedroom,1260.0,4.0,65.0,4,5158
Sarjapur  Road,3 BHK,1173.0,2.0,45.75,3,3900
Electronics City Phase 1,3 BHK,1445.0,2.0,56.0,3,3875
other,4 BHK,2250.0,4.0,400.0,4,17777
Bannerghatta Road,3 Bedroom,1500.0,4.0,239.0,3,15933
Thanisandra,3 BHK,2336.5,3.0,115.89,3,4959
JP Nagar,2 BHK,1197.0,2.0,47.88,2,4000
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750
Sarjapur  Road,5 BHK,3930.0,7.0,329.0,5,8371
Kanakpura Road,3 BHK,1450.0,3.0,62.4,3,4303
Whitefield,2 BHK,1187.0,2.0,37.85,2,3188
other,6 Bedroom,4000.0,6.0,850.0,6,21250
Channasandra,2 BHK,1050.0,2.0,41.0,2,3904
Panathur,3 BHK,1370.0,2.0,54.8,3,4000
Yelahanka,2 BHK,1036.0,2.0,39.37,2,3800
JP Nagar,3 BHK,1275.0,3.0,41.2,3,3231
Old Madras Road,4 BHK,2010.0,3.0,115.0,4,5721
Thigalarapalya,2 BHK,1418.0,2.0,106.0,2,7475
Thanisandra,2 BHK,1265.0,2.0,46.6,2,3683
Anandapura,3 BHK,1576.0,3.0,58.0,3,3680
Dodda Nekkundi,2 BHK,1148.0,2.0,56.0,2,4878
other,2 BHK,1000.0,2.0,36.0,2,3600
Kudlu,3 BHK,1293.0,2.0,85.0,3,6573
TC Palaya,3 Bedroom,1200.0,2.0,66.0,3,5500
Munnekollal,2 BHK,1210.0,2.0,75.0,2,6198
HSR Layout,2 BHK,1126.0,2.0,69.0,2,6127
Sarakki Nagar,3 BHK,1840.0,4.0,175.0,3,9510
Vidyaranyapura,3 BHK,1440.0,2.0,70.0,3,4861
Ramamurthy Nagar,3 BHK,1300.0,2.0,52.0,3,4000
Thanisandra,2 BHK,1276.0,2.0,75.0,2,5877
other,6 Bedroom,600.0,4.0,105.0,6,17500
Whitefield,2 BHK,1216.0,2.0,83.0,2,6825
other,1 BHK,840.0,1.0,75.0,1,8928
other,5 Bedroom,1240.0,5.0,300.0,5,24193
Sompura,2 BHK,1126.0,2.0,39.0,2,3463
Mysore Road,1 Bedroom,45.0,1.0,23.0,1,51111
Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,65.0,2,5593
Whitefield,2 BHK,1301.0,2.0,65.0,2,4996
Devanahalli,1 BHK,658.0,1.0,34.0,1,5167
Sahakara Nagar,3 Bedroom,1350.0,3.0,250.0,3,18518
Whitefield,3 BHK,2500.0,3.0,280.0,3,11200
Chandapura,3 BHK,1208.51,3.0,42.0,3,3475
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,38.41,2,3390
other,3 BHK,1760.0,2.0,116.0,3,6590
Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3,4837
Sarjapur,2 BHK,940.0,2.0,25.38,2,2700
Badavala Nagar,2 BHK,1145.0,2.0,57.0,2,4978
Bannerghatta Road,2 BHK,1302.5,2.0,67.73,2,5200
other,4 Bedroom,3900.0,5.0,550.0,4,14102
other,4 BHK,3317.5,5.0,268.5,4,8093
Dasarahalli,2 BHK,1300.0,2.0,50.0,2,3846
Malleshwaram,3 BHK,2475.0,4.0,326.0,3,13171
6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803
Hosakerehalli,1 Bedroom,1200.0,1.0,150.0,1,12500
Jigani,4 Bedroom,2420.0,4.0,190.0,4,7851
Thubarahalli,2 BHK,1216.0,2.0,80.0,2,6578
Tumkur Road,3 BHK,1459.0,2.0,110.0,3,7539
Jakkur,3 BHK,1622.0,2.0,80.0,3,4932
Kanakpura Road,3 BHK,1843.0,3.0,85.0,3,4612
Badavala Nagar,2 BHK,1274.0,2.0,81.0,2,6357
other,2 Bedroom,600.0,1.0,52.0,2,8666
Malleshpalya,3 BHK,1430.0,2.0,69.5,3,4860
Kammanahalli,4 Bedroom,1800.0,2.0,280.0,4,15555
Begur Road,3 BHK,1565.0,2.0,57.91,3,3700
other,3 BHK,1670.0,3.0,160.0,3,9580
Lakshminarayana Pura,3 BHK,1695.0,3.0,150.0,3,8849
other,2 BHK,1410.0,2.0,75.0,2,5319
Kengeri Satellite Town,2 BHK,1060.0,2.0,42.0,2,3962
Sarjapur  Road,2 BHK,1120.0,2.0,50.0,2,4464
Hosa Road,2 Bedroom,880.0,2.0,50.0,2,5681
Jalahalli,2 BHK,1083.0,2.0,32.49,2,3000
Dodda Nekkundi,3 BHK,1435.0,3.0,57.2,3,3986
Doddakallasandra,3 BHK,1425.0,2.0,56.99,3,3999
Arekere,2 BHK,900.0,2.0,50.0,2,5555
other,5 BHK,2400.0,5.0,93.0,5,3875
Thanisandra,1 BHK,693.0,1.0,34.3,1,4949
Kengeri,3 Bedroom,600.0,3.0,90.0,3,15000
Electronic City,4 BHK,2435.0,4.0,119.0,4,4887
Iblur Village,3 BHK,1920.0,3.0,150.0,3,7812
Electronic City,1 BHK,630.0,1.0,47.0,1,7460
Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3,4651
Hulimavu,5 Bedroom,1200.0,5.0,101.0,5,8416
Nagavarapalya,1 BHK,705.0,1.0,55.0,1,7801
other,3 BHK,1200.0,2.0,75.6,3,6299
Mahadevpura,2 BHK,1532.0,2.0,62.0,2,4046
Rajiv Nagar,2 BHK,1330.0,2.0,93.0,2,6992
other,4 Bedroom,1200.0,3.0,210.0,4,17500
Sarjapur  Road,3 BHK,1530.0,2.0,60.0,3,3921
Kasavanhalli,2 BHK,1105.0,2.0,42.0,2,3800
1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494
Harlur,3 BHK,1630.0,3.0,95.1,3,5834
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000
Banashankari,6 BHK,1200.0,6.0,180.0,6,15000
Brookefield,3 BHK,1595.0,2.0,75.0,3,4702
7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300
Poorna Pragna Layout,3 BHK,1475.0,2.0,58.99,3,3999
other,5 Bedroom,2400.0,5.0,285.0,5,11875
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
other,4 Bedroom,2360.0,4.0,650.0,4,27542
Uttarahalli,3 BHK,1737.0,2.0,95.0,3,5469
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
other,4 BHK,2100.0,4.0,150.0,4,7142
Hosakerehalli,8 Bedroom,3600.0,6.0,145.0,8,4027
Mysore Road,2 BHK,883.0,2.0,50.0,2,5662
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
BTM Layout,3 BHK,1776.0,2.0,75.0,3,4222
Anjanapura,3 BHK,1347.0,2.0,37.72,3,2800
Whitefield,3 BHK,1330.0,2.0,55.0,3,4135
other,2 Bedroom,600.0,2.0,120.0,2,20000
Rajaji Nagar,4 BHK,3730.0,4.0,370.0,4,9919
Harlur,3 BHK,1459.0,3.0,135.0,3,9252
Thanisandra,4 BHK,2259.0,5.0,135.0,4,5976
JP Nagar,7 Bedroom,2700.0,4.0,160.0,7,5925
Gubbalala,2 BHK,1008.0,2.0,32.25,2,3199
other,2 BHK,1200.0,2.0,52.5,2,4375
other,4 BHK,2328.0,4.0,528.0,4,22680
other,7 Bedroom,600.0,7.0,110.0,7,18333
Electronic City,2 BHK,660.0,1.0,15.5,2,2348
Rajaji Nagar,3 BHK,1800.0,2.0,250.0,3,13888
Rajaji Nagar,4 BHK,3100.0,4.0,550.0,4,17741
Yelahanka,2 BHK,1405.0,2.0,50.58,2,3600
Yelahanka,1 BHK,602.0,1.0,26.0,1,4318
Marathahalli,3 BHK,1710.0,3.0,100.0,3,5847
JP Nagar,3 BHK,1500.0,2.0,82.0,3,5466
other,3 BHK,1539.0,3.0,60.0,3,3898
other,6 Bedroom,806.0,3.0,128.0,6,15880
Judicial Layout,3 BHK,1100.0,2.0,53.0,3,4818
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,49.0,2,4257
other,2 BHK,920.0,2.0,46.0,2,5000
Kathriguppe,3 BHK,1350.0,3.0,78.3,3,5800
Bannerghatta Road,2 BHK,1200.0,2.0,65.0,2,5416
Thanisandra,2 BHK,1265.0,2.0,78.0,2,6166
other,8 Bedroom,600.0,6.0,60.0,8,10000
Sarjapur  Road,3 BHK,1700.0,3.0,93.5,3,5500
Ramamurthy Nagar,3 Bedroom,1600.0,3.0,75.0,3,4687
other,4 Bedroom,1550.0,4.0,120.0,4,7741
R.T. Nagar,3 BHK,1560.0,3.0,125.0,3,8012
Horamavu Agara,6 Bedroom,1000.0,5.0,98.0,6,9800
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
Raja Rajeshwari Nagar,4 Bedroom,1200.0,4.0,160.0,4,13333
Sarjapur  Road,3 BHK,1403.0,3.0,56.0,3,3991
Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999
Tumkur Road,3 BHK,1416.0,3.0,94.0,3,6638
Kanakpura Road,2 BHK,1628.0,2.0,68.0,2,4176
Chamrajpet,4 Bedroom,1660.4,4.0,211.0,4,12707
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440
Doddathoguru,3 BHK,1595.0,3.0,62.0,3,3887
Kanakpura Road,3 BHK,1507.0,2.0,95.0,3,6303
Frazer Town,3 BHK,2560.0,3.0,288.0,3,11250
Hennur Road,3 BHK,1949.0,3.0,133.0,3,6824
BTM 2nd Stage,2 Bedroom,800.0,2.0,175.0,2,21875
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
other,2 BHK,905.0,2.0,50.0,2,5524
Hosakerehalli,3 BHK,2480.0,3.0,245.0,3,9879
other,3 BHK,1495.0,3.0,200.0,3,13377
Kaikondrahalli,3 BHK,1605.0,3.0,105.0,3,6542
Bommanahalli,2 BHK,1290.0,2.0,73.0,2,5658
Yelahanka,2 BHK,1100.0,2.0,60.0,2,5454
Vishveshwarya Layout,6 BHK,2100.0,6.0,92.0,6,4380
Electronics City Phase 1,2 BHK,995.0,2.0,49.8,2,5005
Banashankari Stage II,2 Bedroom,500.0,2.0,55.0,2,11000
Rajaji Nagar,4 BHK,3526.0,4.0,598.0,4,16959
Gottigere,3 BHK,1425.0,2.0,47.0,3,3298
other,3 BHK,1455.0,2.0,55.0,3,3780
other,1 BHK,550.0,1.0,23.0,1,4181
Uttarahalli,3 BHK,1385.0,2.0,48.48,3,3500
Vishveshwarya Layout,4 Bedroom,7000.0,4.0,210.0,4,3000
other,5 BHK,4000.0,3.0,130.0,5,3250
other,2 BHK,1060.0,2.0,53.0,2,5000
other,3 BHK,1080.0,2.0,75.0,3,6944
HBR Layout,3 BHK,1783.0,3.0,125.0,3,7010
Haralur Road,3 BHK,1520.0,2.0,90.0,3,5921
Sarjapur  Road,2 BHK,1060.0,2.0,55.0,2,5188
Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,54.35,2,4289
Whitefield,2 BHK,1155.0,2.0,55.0,2,4761
Karuna Nagar,3 Bedroom,2500.0,3.0,180.0,3,7200
Bannerghatta Road,2 BHK,1240.0,2.0,65.0,2,5241
other,3 BHK,1570.0,3.0,78.0,3,4968
NGR Layout,2 BHK,1019.0,2.0,45.9,2,4504
Whitefield,2 BHK,1355.0,3.0,76.0,2,5608
other,3 BHK,1537.0,3.0,110.0,3,7156
Whitefield,4 BHK,4075.0,5.0,226.0,4,5546
Raja Rajeshwari Nagar,3 BHK,1550.0,3.0,52.45,3,3383
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,50.0,2,4545
other,3 BHK,1750.0,3.0,150.0,3,8571
9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843
Rachenahalli,3 BHK,1550.0,3.0,72.5,3,4677
Akshaya Nagar,3 BHK,2300.0,4.0,102.0,3,4434
Kengeri,1 BHK,540.0,1.0,22.5,1,4166
8th Phase JP Nagar,3 Bedroom,950.0,3.0,130.0,3,13684
other,7 Bedroom,2800.0,7.0,250.0,7,8928
